date_mentioned,date_announced,component_id
2004-12-07,2002-12-10,2494
2004-12-07,2001-10-15,2478
2004-12-07,1999-02-17,2480
2004-12-07,2002-08-27,2482
2004-12-07,2001-10-15,2483
2004-12-07,2003-05-06,2485
2004-12-07,2003-05-06,2486
2004-12-07,1999-06-23,2487
2004-12-07,2003-11-17,2489
2004-12-07,2003-04-22,2490
2004-12-07,2003-05-08,2491
2004-12-07,2001-05-29,2492
2004-12-07,1998-10-19,2488
2004-12-07,1997-05-07,2471
2004-12-07,2002-07-15,2493
2004-12-07,2001-10-15,2481
2004-12-07,2000-11-20,2473
2004-12-07,1999-02-26,2472
2004-12-07,2005-07-07,2469
2004-12-07,2003-04-22,2475
2004-12-07,2001-01-15,2476
2004-12-07,2000-09-15,2477
2005-04-05,2004-05-18,2497
2005-04-05,2003-06-01,2496
2005-09-20,2004-06-01,2499
2005-09-20,2002-06-15,2501
2005-09-20,2001-08-15,2500
2005-09-20,2004-06-01,2498
2005-09-20,2005-05-31,2502
2006-04-04,2005-05-31,2503
2006-04-04,2005-05-25,2505
2006-04-04,2005-05-31,2506
2006-09-19,2005-09-26,2508
2007-04-11,2003-03-06,2511
2007-04-11,2006-06-26,2509
2007-04-11,2006-06-26,2510
2007-04-11,2006-05-23,2512
2007-09-25,2005-05-31,2504
2007-09-25,2006-06-26,2513
2008-03-27,2006-11-14,2515
2008-03-27,2007-11-11,2517
2008-03-27,2007-11-11,2519
2008-03-27,2007-03-12,2521
2008-03-27,2006-11-14,2520
2008-03-27,2006-11-14,2516
2008-09-23,2008-10-15,2522
2008-09-23,2007-03-12,2615
2008-09-23,2007-11-11,2527
2008-09-23,2007-09-06,2523
2008-09-23,2007-11-11,2524
2008-09-23,2007-11-11,2525
2008-09-23,2006-11-14,2526
2009-03-31,2008-04-09,2618
2009-03-31,2007-11-11,2619
2009-03-31,2008-05-13,2621
2009-03-31,2008-11-13,2620
2009-03-31,2008-04-09,2617
2009-03-31,2007-11-11,2529
2009-03-31,2006-06-26,2622
2009-03-31,2007-11-11,2528
2009-09-22,2006-06-26,2624
2010-03-30,2009-03-30,2532
2010-03-30,2009-06-26,2546
2010-03-30,2008-08-15,2633
2010-03-30,2009-03-30,2530
2010-03-30,2007-11-11,2531
2010-09-21,2003-06-30,2636
2010-09-21,2009-03-30,2533
2011-03-29,2010-03-16,4026
2011-03-29,2011-07-25,4028
2011-03-29,2011-07-25,4027
2011-03-29,2011-07-25,4025
2011-03-29,2010-03-30,2539
2011-03-29,2010-03-16,2536
2011-03-29,2010-03-16,2541
2011-03-29,2010-03-16,2543
2011-03-29,2007-11-11,2545
2011-03-29,2010-03-16,2562
2011-03-29,2011-07-25,4006
2011-03-29,2010-03-29,2638
2011-03-29,2009-03-30,2542
2011-09-20,2011-07-25,4003
2011-09-20,2011-02-14,2653
2011-09-20,2010-03-16,2550
2011-09-20,2010-03-16,4024
2011-09-20,2011-07-25,4001
2012-03-27,2012-03-06,2558
2012-03-27,2011-07-15,4029
2012-03-27,2010-03-16,2552
2012-03-27,2012-03-06,2557
2012-03-27,2012-03-06,2569
2012-03-27,2012-03-06,2567
2012-03-27,2011-11-14,2675
2012-09-18,2012-03-06,2554
2013-04-02,2011-02-14,4030
2013-04-02,2013-06-17,4034
2013-04-02,2012-11-12,4037
2013-04-02,2010-11-02,4031
2013-09-24,2012-11-12,4018
2013-09-24,2012-11-12,4009
2013-09-24,2011-07-25,4007
2013-09-24,2012-03-06,4011
2014-04-01,2012-11-12,4032
2014-04-01,2012-11-12,4017
2014-09-23,2012-11-12,4016
2014-09-23,2013-09-01,2585
2014-09-23,2013-09-01,2584
2014-09-23,2013-09-01,2587
2014-09-23,2013-11-22,4020
2015-03-31,2014-03-01,4036
2015-03-31,2013-06-17,4035
2015-03-31,2013-09-01,2601
2015-03-31,2014-09-08,2595
2015-03-31,2013-05-11,4023
2015-03-31,2013-09-08,4014
2015-03-31,2014-09-08,2605
2015-03-31,2013-06-17,4033
2015-03-31,2013-09-01,4010
2015-03-31,2013-09-01,2600
2015-03-31,2013-10-08,4019
2015-03-31,2013-03-18,4022
2015-09-28,2013-09-01,4012
2015-09-28,2012-03-06,4008
2015-09-28,2014-03-26,4013
2015-09-28,2014-09-08,2602
2015-09-28,2014-11-17,4021
2016-03-29,2014-09-08,4090
2016-03-29,2015-06-12,4091
2016-03-29,2013-09-01,4092
2016-03-29,2013-09-01,4093
2016-03-29,2014-09-08,4094
2017-04-04,2016-03-31,4391
2017-04-04,2016-03-31,4384
2017-04-04,2016-03-31,4386
2017-04-04,2016-06-20,4387
2017-04-04,2016-03-31,4388
2017-04-04,2014-09-08,4389
2017-04-04,2016-03-31,4385
2017-04-04,2016-03-31,4390
2017-09-25,2013-08-15,4444
2017-09-25,2016-03-31,4447
2017-09-25,2016-04-05,4449
2017-09-25,2016-03-31,4445
2017-09-25,2016-03-31,4446
2018-04-03,2017-07-11,4706
2018-04-03,2011-07-25,47
2018-04-03,2017-07-11,4705
2018-04-03,2016-03-31,4702
2018-04-03,2017-07-11,4703
2018-04-03,2017-05-10,4707
2018-09-24,2014-08-07,5287
2018-09-24,2014-09-08,5286
2018-09-24,2017-07-11,5283
2018-09-24,2017-07-11,5285
2018-09-24,2017-07-11,5284
2019-04-02,2017-07-11,5574
2019-04-02,2017-07-11,5611
2019-04-02,2016-09-13,5592
2019-04-02,2014-09-08,5559
2019-09-23,2017-04-25,5686
2019-09-23,2019-04-02,5742
2020-03-31,2019-04-02,5893
2020-03-31,2017-06-21,5902
2020-03-31,2018-11-18,5860
2020-03-31,2017-07-11,5851
2020-03-31,2019-04-02,5859
2020-03-31,2019-04-02,5871
2020-03-31,2017-07-11,5879
2020-03-31,2017-07-11,5881
2020-03-31,2019-04-02,5887
2020-03-31,2019-04-02,5885
2020-03-31,2019-04-02,5906
2020-03-31,2017-07-11,5877
2020-09-21,2020-02-24,6009
2020-09-21,2019-04-02,5971
2020-09-21,2019-04-02,5974
2020-09-21,2020-02-24,5986
2020-09-21,2019-04-02,5994
2020-09-21,2018-11-18,5975
2020-09-21,2019-04-02,6007
2020-09-21,2018-11-18,5972
2021-03-30,2020-02-24,6171
2021-03-30,2019-08-07,6179
2021-03-30,2019-04-02,6218
2021-03-30,2020-11-16,6180
2021-09-27,2019-08-07,6302
2021-09-27,2020-05-14,6291
2022-03-29,2021-04-06,6422
2022-03-29,2020-02-24,6448
2022-03-29,2022-12-03,6423
2022-03-29,2021-04-06,6418
2022-03-29,2020-02-15,6388
2022-03-29,2021-04-06,6420
2022-09-26,2016-03-31,6600
2022-09-26,2020-02-24,6578
2022-09-26,2016-03-31,6582
2022-09-26,2019-07-09,6596
2022-09-26,2016-10-01,6601
2022-09-26,2020-09-17,6587
2022-09-26,2019-09-18,6559
2022-09-26,2017-07-11,6568
2022-09-26,2014-09-08,6586
2022-09-26,2016-03-31,6598
2022-09-26,2016-03-31,6576
2022-09-26,2009-03-30,6584
2022-09-26,2017-07-11,6580
2022-09-26,2020-02-24,6593
2022-09-26,2017-07-11,6595
2023-03-28,2021-04-06,6731
2023-03-28,2021-04-06,6732
,2010-03-29,2642
,1992-03-15,2612
,2005-05-15,2609
,1998-04-15,2484
,1995-11-01,2470
,2019-08-07,6872
,2019-08-07,6892
,2019-08-07,6904
,2013-01-05,4701
,2018-11-18,5963
,2018-09-12,6874
,2009-03-30,39
,2018-11-18,5966
,2018-11-18,6001
,2018-09-12,6661
,2018-09-12,6673
,2018-09-12,6906
,2018-09-12,6894
,2008-05-12,45
,2010-03-16,42
,2010-03-30,46
,2019-04-02,5962
,2017-07-11,5549
,2018-09-12,6862
,2010-03-16,41
,2019-04-02,5965
,2020-02-24,6191
,2020-02-15,6204
,2019-04-02,6213
,2019-08-07,6664
,2019-08-07,6676
,2021-04-06,6698
,2019-08-07,6860
,2017-07-11,4704
,2005-05-31,4513
,2016-03-31,4448
,2010-07-18,2656
